LC,Accession Number,"Author, Primary","Authors, Multiple",Barcode,Bibliographic Format,Branch,Collection/Status,Copy,Corporate Author,Cost,Date Touched,Description,Edition,General Material Designation,Home Branch,ISBN,ISBN-Normal,ISBN-Normal 10,LC Classification 1,LCCN,Place of Publication,Publication Dates,Publication Year,Publisher,Series,Status,"Subject Headings, LC",Title,"Titles, Alternate"
QH 105 .C2 B3 1984,20320,"Bakker, Elna S","Bakker, Elna S",20320,Monograph,Learning Commons,Gen-nonc,,,,,"xii, 484 p. : ill. ; 22 cm.","2nd ed., rev. and expanded.",text,Learning Commons,520049489,9.78E+12,520049489,QH 105 .C2 B3 1984,82017453,Berkeley,c1984,1984,University of California Press,,Available,Ecology - California;Natural history - California;California,An island called California : an ecological introduction to its natural communities,
QH 105 .C2 B3 1984,4820,"Bakker, Elna S","Bakker, Elna S",3844,Monograph,Learning Commons,General,,,,57:47.7,"xii, 484 p. : ill. ; 22 cm.","2nd ed., rev. and expanded.",text,,520049489,9.78E+12,520049489,QH 105 .C2 B3 1984,82017453,Berkeley,c1984,1984,University of California Press,,Available,Ecology - California;Natural history - California;California,An island called California : an ecological introduction to its natural communities,
F 864 .P67 1991,1062,"Polk, Dora","Polk, Dora",11626,Monograph,Learning Commons,General,,,,,398 p. : maps ; 25 cm.,,text,,087062198X (alk. paper) :,9.78E+12,087062198X,F 864 .P67 1991,89062766,"Spokane, Wash.",1991,1991,Arthur H. Clark Co.,Spain in the West; 13,Available,Geographical myths;Discoveries in geography;California - History;Baja California (Mexico),The island of California : a history of the myth,
QH 438.5 .L49 2000,7349,"Lewontin, Richard C","Lewontin, Richard C",12595,Monograph,Learning Commons,General,,,,,"xxv, 330 p. ; 23 cm.",,text,,0940322102 (acid-free paper),9.78E+12,940322102,QH438.5 .L49 2000,99056280,New York,2000,2000,New York Review of Books,,Available,Nature and nurture;Human genetics;Genetics;Human biology;Biology,It ain't necessarily so : the dream of the human genome and other illusions,
QB 209 .N37 1990,4393,National Science Resources Center (U.S.),,3429,Monograph,Learning Commons,Activity,,National Science Resources Center (U.S.),,23:18.6,"vi, 180 p. : ill. ; 28 cm.",Field-test ed.,text,,,,,,,"Washington, DC",c1990,1990,The Center,,On Loan,Time - Study and teaching (Elementary);Science - Experiments - Study and teaching (Elementary),It's about time. Teachers guide,
QC 385 .G55 1968,2685,"Gluck, Irvin D","Gluck, Irvin D",12443,Monograph,Learning Commons,General,,,,,"xii, 200 p. illus., port. 22 cm.",[1st ed.],text,,,,,QC385 .G55,67015349,"Garden City, N.Y.,",1968,1968,Doubleday,,Available,Mirrors;Optics;Telescopes;Lasers;Solar energy;Mirrors - Experiments,It's all done with mirrors,
Q 173 .D46 1992,6869,"Dennis, Jerry","Dennis, Jerry",10172,Monograph,Learning Commons,General,,,,,"xii, 323 p. : ill. ; 22 cm.",1st ed.,text,,0060163755 :,9.78E+12,60163755,QC981 .D46 1992,92052603,"New York, NY",c1992,1992,HarperCollins,,Available,Weather;Natural history;Seasons;Science - Miscellanea;Curiosities and wonders,It's raining frogs and fishes : four seasons of natural phenomena and oddities of the sky,
QC 16 .O62 G66 1985,3291,"Goodchild, Peter","Goodchild, Peter",3898,Monograph,Learning Commons,General,,,,,"301 p. : ill., ports. ; 24 cm.",,text,,0880640219 (pbk.) :,9.78E+12,880640219,QC 16 .O62 G66 1985,85013194,New York,"1985, c1980",1985,Houghton Mifflin;Fromm International Pub. Corp.,,Available,"Physicists - Biography;Scientists - Biography;Oppenheimer, J. Robert, 1904-1967",J. Robert Oppenheimer : shatterer of worlds,"Oppenheimer, shatterer of worlds"
Q 164 .V367 1994,5708,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",5708,Monograph,Learning Commons,Act-nonc,,,,,"viii, 118 p. : ill. ; 28 cm.",,text,Learning Commons,0471310115 (pbk. : alk. paper) :,9.78E+12,471310115,Q 164 .V367 1994,93029807,New York,c1994,1994,Wiley,,Non-Circulating,Science - Experiments - Juvenile literature;Science - Experiments;Scientific recreations;Experiments,"Janice VanCleave's 201 awesome, magical, bizarre & incredible experiments.","Janice VanCleave's two hundred one awesome, magical, bizarre, and incredible experiments.;Two hundred and one awesome, magical, bizarre, and incredible experiments.;Janice VanCleave's two hundred and one awesome, magical, bizarre, and incredible experiments.;201 awesome, magical, bizarre & incredible experiments."
Q 164 .V367 1994,6306,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",5707,Monograph,Learning Commons,Activity,,,,,"viii, 118 p. : ill. ; 28 cm.",,text,,0471310115 (pbk. : alk. paper) :,9.78E+12,471310115,Q 164 .V367 1994,93029807,New York,c1994,1994,Wiley,,Available,Science - Experiments - Juvenile literature;Science - Experiments;Scientific recreations;Experiments,"Janice VanCleave's 201 awesome, magical, bizarre & incredible experiments.","Janice VanCleave's two hundred one awesome, magical, bizarre, and incredible experiments.;Two hundred and one awesome, magical, bizarre, and incredible experiments.;Janice VanCleave's two hundred and one awesome, magical, bizarre, and incredible experiments.;201 awesome, magical, bizarre & incredible experiments."
Q 164 .V44 1996,5705,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",5705,Monograph,Learning Commons,Activity,,,,,"viii, 120 p. : ill. ; 28 cm.",,text,TI Classroom,0471140252 (pbk. : alk. paper),9.78E+12,471140252,Q 164 .V44 1996,95046398,New York,1996,1996,J. Wiley,,Lost,Science - Experiments - Juvenile literature;Scientific recreations - Juvenile literature;Science - Experiments;Experiments,"Janice VanCleave's 202 oozing, bubbling, dripping & bouncing experiments","202 oozing, bubbling, dripping & bouncing experiments;Janice VanCleave's two hundred and two oozing, bubbling, dripping & bouncing experiments"
Q 164 .V44 1996,6305,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",5706,Monograph,Learning Commons,Act-nonc,,,,,"viii, 120 p. : ill. ; 28 cm.",,text,,0471140252 (pbk. : alk. paper),9.78E+12,471140252,Q 164 .V44 1996,95046398,New York,1996,1996,J. Wiley,,Available,Science - Experiments - Juvenile literature;Scientific recreations - Juvenile literature;Science - Experiments;Experiments,"Janice VanCleave's 202 oozing, bubbling, dripping & bouncing experiments","202 oozing, bubbling, dripping & bouncing experiments;Janice VanCleave's two hundred and two oozing, bubbling, dripping & bouncing experiments"
QH 316.5 .V35 1993,21807,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",21807,Monograph,Learning Commons,Activity,,,,,"vi, 217 p. : ill. ; 24 cm.",,text,Learning Commons,0471586293 (cloth : acid-free paper) :,9.78E+12,471586293,QH 316.5 .V35 1993,93013306,New York,c1993,1993,Wiley,,Available,Biology projects - Juvenile literature;Human biology - Experiments - Juvenile literature;Science projects;Experiments;Biology - Experiments,Janice VanCleave's A+ projects in biology : winning experiments for science fairs and extra credit.,A+ projects in biology;Janice VanCleave's A plus projects in biology
QH 316.5 .V35 1993,1190,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",1190,Monograph,Learning Commons,Act-nonc,,,,,"vi, 217 p. : ill. ; 24 cm.",,text,Learning Commons,0471586293 (cloth : acid-free paper) :,9.78E+12,471586293,QH 316.5 .V35 1993,93013306,New York,c1993,1993,Wiley,,Non-Circulating,Biology projects - Juvenile literature;Human biology - Experiments - Juvenile literature;Science projects;Experiments;Biology - Experiments,Janice VanCleave's A+ projects in biology : winning experiments for science fairs and extra credit.,A+ projects in biology;Janice VanCleave's A plus projects in biology
QD 38 .V37 1993,2293,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",2293,Monograph,Learning Commons,Activity,,,,,233 p. : ill. ; 24 cm.,,text,Learning Commons,0471586315 :,9.78E+12,471586315,QD 38 .V37 1993,93010588,New York,c1993,1993,Wiley,,Available,Chemistry - Experiments;Science projects,Janice Vancleave's A+ projects in chemistry : winning experiments for science fairs and extra credit.,A+ projects in chemistry;Janice Vancleave's A plus projects in chemistry
QD 38 .V37 1993,458,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",5898,Monograph,Learning Commons,Act-nonc,,,,,233 p. : ill. ; 24 cm.,,text,Learning Commons,0471586315 :,9.78E+12,471586315,QD 38 .V37 1993,93010588,New York,c1993,1993,Wiley,,Non-Circulating,Chemistry - Experiments;Science projects,Janice Vancleave's A+ projects in chemistry : winning experiments for science fairs and extra credit.,A+ projects in chemistry;Janice Vancleave's A plus projects in chemistry
QL 52.6 .V36 1993,517,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",2523,Monograph,Learning Commons,Act-nonc,,,,,88 p. : ill. ; 21 cm.,,text,,0471550523 (pbk. : acid-free paper) :,9.78E+12,471550523,QL 52.6 .V36 1993,92025094,New York,c1993,1993,J. Wiley,,Available,Zoology - Experiments;Animals - Experiments - Juvenile literature,Janice VanCleave's animals.,Animals
QB 46 .V36 1991,1223,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",1223,Monograph,Learning Commons,Activity,,,,,"x, 229 p. : ill. ; 24 cm.",,text,Learning Commons,0471542857 (lib. bdg.),9.78E+12,471542857,QB 46 .V36 1991,91002443,New York,c1991,1991,Wiley,,Available,Astronomy - Experiments - Juvenile literature;Astronomy - Experiments;Experiments,Janice VanCleave's astronomy for every kid : 101 easy experiments that really work,Astronomy for every kid
QB 46 .V36 1991,3061,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",1222,Monograph,Learning Commons,Act-nonc,,,,,"x, 229 p. : ill. ; 24 cm.",,text,Learning Commons,0471542857 (lib. bdg.),9.78E+12,471542857,QB 46 .V36 1991,91002443,New York,c1991,1991,Wiley,,Non-Circulating,Astronomy - Experiments - Juvenile literature;Astronomy - Experiments;Experiments,Janice VanCleave's astronomy for every kid : 101 easy experiments that really work,Astronomy for every kid
QB 46 .V363 1997,21882,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",21882,Monograph,Learning Commons,Activity,,,,,"viii, 247 p. : ill., maps ; 24 cm.",,text,Learning Commons,0471159816 (cloth : acid-free paper),9.78E+12,471159816,QB 46 .V363 1997,96035309,New York,c1997,1997,Wiley,,Available,Astronomy - Observers' manuals - Juvenile literature;Constellations - Study and teaching - Activity programs - Juvenile literature;Constellations;Astronomy - Observers' manuals,Janice VanCleave's constellations for every kid : easy activities that make learning science fun.,Constellations for every kid.
QB 46 .V363 1997,4169,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",2340,Monograph,Learning Commons,Act-nonc,,,,,"viii, 247 p. : ill., maps ; 24 cm.",,text,Learning Commons,0471159816 (cloth : acid-free paper),9.78E+12,471159816,QB 46 .V363 1997,96035309,New York,c1997,1997,Wiley,,Non-Circulating,Astronomy - Observers' manuals - Juvenile literature;Constellations - Study and teaching - Activity programs - Juvenile literature;Constellations;Astronomy - Observers' manuals,Janice VanCleave's constellations for every kid : easy activities that make learning science fun.,Constellations for every kid.
QE 862 .D5 V36 1994,2537,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",2537,Monograph,Learning Commons,Act-nonc,,,,,"vii, 230 p. : ill. ; 24 cm.",,text,Learning Commons,0471308137 (acid-free paper),9.78E+12,471308137,QE 862 .D5 V36 1994,93028226,New York,c1994,1994,Wiley & Sons,,Available,Dinosaurs - Experiments - Juvenile literature;Science projects - Juvenile literature;Dinosaurs;Science projects;Paleontology - Experiments - Juvenile literature,Janice VanCleave's dinosaurs for every kid : easy activities that make learning science fun.,Dinosaurs for every kid
QE 862 .D5 V36 1994,382,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",2536,Monograph,Learning Commons,Activity,,,,,"vii, 230 p. : ill. ; 24 cm.",,text,,0471308137 (acid-free paper),9.78E+12,471308137,QE 862 .D5 V36 1994,93028226,New York,c1994,1994,Wiley & Sons,,Available,Dinosaurs - Experiments - Juvenile literature;Science projects - Juvenile literature;Dinosaurs;Science projects;Paleontology - Experiments - Juvenile literature,Janice VanCleave's dinosaurs for every kid : easy activities that make learning science fun.,Dinosaurs for every kid
QE 29 .V36 1991,2535,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",2535,Monograph,Learning Commons,Activity,,,,,"xiv, 231 p. : ill. ; 24 cm.",,text,Learning Commons,0471543896 :,9.78E+12,471543896,QE 29 .V36 1991,90042724,New York,c1991,1991,J. Wiley,,Lost,"Earth sciences - Experiments - Juvenile literature;Weather - Experiments - Juvenile literature;Experiments;Oceanography - Experiments - Juvenile literature;Education, Preschool - Experiments",Janice VanCleave's earth science for every kid : 101 easy experiments that really work,Earth science for every kid
QE 29 .V36 1991,2534,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",2534,Monograph,Learning Commons,Act-nonc,,,,07:53.3,"xiv, 231 p. : ill. ; 24 cm.",,text,Learning Commons,0471543896 :,9.78E+12,471543896,QE 29 .V36 1991,90042724,New York,c1991,1991,J. Wiley,,Non-Circulating,"Earth sciences - Experiments - Juvenile literature;Weather - Experiments - Juvenile literature;Experiments;Oceanography - Experiments - Juvenile literature;Education, Preschool - Experiments",Janice VanCleave's earth science for every kid : 101 easy experiments that really work,Earth science for every kid
QE 29 .V36 1991,20365,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",20365,Monograph,Learning Commons,Activity,,,,,"xiv, 231 p. : ill. ; 24 cm.",,text,Learning Commons,0471543896 :,9.78E+12,471543896,QE 29 .V36 1991,90042724,New York,c1991,1991,J. Wiley,,Available,"Earth sciences - Experiments - Juvenile literature;Weather - Experiments - Juvenile literature;Experiments;Oceanography - Experiments - Juvenile literature;Education, Preschool - Experiments",Janice VanCleave's earth science for every kid : 101 easy experiments that really work,Earth science for every kid
QE 29 .V36 1991,3022,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",482,Monograph,Learning Commons,Activity,,,,,"xiv, 231 p. : ill. ; 24 cm.",,text,Learning Commons,0471543896 :,9.78E+12,471543896,QE 29 .V36 1991,90042724,New York,c1991,1991,J. Wiley,,Lost,"Earth sciences - Experiments - Juvenile literature;Weather - Experiments - Juvenile literature;Experiments;Oceanography - Experiments - Juvenile literature;Education, Preschool - Experiments",Janice VanCleave's earth science for every kid : 101 easy experiments that really work,Earth science for every kid
QE 521.3 .V37 1993,469,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",3639,Monograph,Learning Commons,Activity,,,,,88 p. : ill. ; 21 cm.,,text,TI Classroom,0471571075 :,9.78E+12,471571075,QE 521.3 .V37 1993,92029089,New York,c1993,1993,Wiley,,Lost,Earthquakes - Juvenile literature;Earthquakes - Experiments;Experiments;Science projects,Janice VanCleave's earthquakes : mind-boggling experiments you can turn into science fair projects.,Earthquakes
QE 521.3 .V37 1993,21499,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",21499,Monograph,Learning Commons,Activity,,,,,88 p. : ill. ; 21 cm.,,text,Learning Commons,0471571075 :,9.78E+12,471571075,QE 521.3 .V37 1993,92029089,New York,c1993,1993,Wiley,,Available,Earthquakes - Juvenile literature;Earthquakes - Experiments;Experiments;Science projects,Janice VanCleave's earthquakes : mind-boggling experiments you can turn into science fair projects.,Earthquakes
QE 521.3 .V37 1993,3640,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",3640,Monograph,Learning Commons,Act-nonc,,,,,88 p. : ill. ; 21 cm.,,text,Learning Commons,0471571075 :,9.78E+12,471571075,QE 521.3 .V37 1993,92029089,New York,c1993,1993,Wiley,,Available,Earthquakes - Juvenile literature;Earthquakes - Experiments;Experiments;Science projects,Janice VanCleave's earthquakes : mind-boggling experiments you can turn into science fair projects.,Earthquakes
QH 541.24 .V36 1996,84,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",2530,Monograph,Learning Commons,Activity,,,,,"xi, 219 p. : ill., maps ; 24 cm.",,text,TI Classroom,0471101001 (cloth : acid-free paper),9.78E+12,471101001,QH 541.24 .V36 1996,95006112,New York,c1996,1996,Wiley,,Missing,Ecology - Experiments - Juvenile literature;Ecology - Experiments;Habitat (Ecology);Experiments;Plants - Experiments - Juvenile literature;Animals - Experiments - Juvenile literature,Janice Vancleave's ecology for every kid : easy activities that make learning science fun.,Ecology for every kid
QH 541.24 .V36 1996,2531,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",2531,Monograph,Learning Commons,Act-nonc,,,,,"xi, 219 p. : ill., maps ; 24 cm.",,text,Learning Commons,0471101001 (cloth : acid-free paper),9.78E+12,471101001,QH 541.24 .V36 1996,95006112,New York,c1996,1996,Wiley,,Available,Ecology - Experiments - Juvenile literature;Ecology - Experiments;Habitat (Ecology);Experiments;Plants - Experiments - Juvenile literature;Animals - Experiments - Juvenile literature,Janice Vancleave's ecology for every kid : easy activities that make learning science fun.,Ecology for every kid
QH 541.24 .V36 1996,21889,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",21889,Monograph,Learning Commons,Activity,,,,,"xi, 219 p. : ill., maps ; 24 cm.",,text,Learning Commons,0471101001 (cloth : acid-free paper),9.78E+12,471101001,QH 541.24 .V36 1996,95006112,New York,c1996,1996,Wiley,,Available,Ecology - Experiments - Juvenile literature;Ecology - Experiments;Habitat (Ecology);Experiments;Plants - Experiments - Juvenile literature;Animals - Experiments - Juvenile literature,Janice Vancleave's ecology for every kid : easy activities that make learning science fun.,Ecology for every kid
QC 527.2 .V36 1994,2757,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",2757,Monograph,Learning Commons,Act-nonc,,,,,89 p. : ill. ; 21 cm.,,text,Learning Commons,0471310107 (acid-free paper) :,9.78E+12,471310107,QC 527.2 .V36 1994,93040913,New York,c1994,1994,Wiley,,Missing,Electricity - Experiments - Juvenile literature;Science projects - Juvenile literature;Electricity - Experiments;Experiments;Science projects,Janice VanCleave's electricity : mind-boggling experiments you can turn into science fair projects,Electricity.
QC 527.2 .V36 1994,4222,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",2756,Monograph,Learning Commons,Activity,,,,,89 p. : ill. ; 21 cm.,,text,,0471310107 (acid-free paper) :,9.78E+12,471310107,QC 527.2 .V36 1994,93040913,New York,c1994,1994,Wiley,,Missing,Electricity - Experiments - Juvenile literature;Science projects - Juvenile literature;Electricity - Experiments;Experiments;Science projects,Janice VanCleave's electricity : mind-boggling experiments you can turn into science fair projects,Electricity.
QC 527.2 .V36 1994,21874,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",21874,Monograph,Learning Commons,Activity,,,,,89 p. : ill. ; 21 cm.,,text,Learning Commons,0471310107 (acid-free paper) :,9.78E+12,471310107,QC 527.2 .V36 1994,93040913,New York,c1994,1994,Wiley,,Available,Electricity - Experiments - Juvenile literature;Science projects - Juvenile literature;Electricity - Experiments;Experiments;Science projects,Janice VanCleave's electricity : mind-boggling experiments you can turn into science fair projects,Electricity.
QC 527.2 .V36 1994,21876,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",21876,Monograph,Learning Commons,Activity,,,,,89 p. : ill. ; 21 cm.,,text,Learning Commons,0471310107 (acid-free paper) :,9.78E+12,471310107,QC 527.2 .V36 1994,93040913,New York,c1994,1994,Wiley,,Available,Electricity - Experiments - Juvenile literature;Science projects - Juvenile literature;Electricity - Experiments;Experiments;Science projects,Janice VanCleave's electricity : mind-boggling experiments you can turn into science fair projects,Electricity.
QC 133 .V285 1993,472,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",2525,Monograph,Learning Commons,Act-nonc,,,,,88 p. : ill. ; 21 cm.,,text,,0471550507 (pbk. : acid-free paper) :,9.78E+12,471550507,QC 133 .V285 1993,92025717,New York,c1993,1993,John Wiley & Sons. Inc.,,Available,Gravitation - Experiments - Juvenile literature;Science projects - Juvenile literature;Gravity - Experiments;Experiments;Science projects,Janice VanCleave's gravity,Gravity
QC 133 .V285 1993,2524,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",2524,Monograph,Learning Commons,Activity,,,,,88 p. : ill. ; 21 cm.,,text,Learning Commons,0471550507 (pbk. : acid-free paper) :,9.78E+12,471550507,QC 133 .V285 1993,92025717,New York,c1993,1993,John Wiley & Sons. Inc.,,Available,Gravitation - Experiments - Juvenile literature;Science projects - Juvenile literature;Gravity - Experiments;Experiments;Science projects,Janice VanCleave's gravity,Gravity
Q 182.3 .V36 1997,5536,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",6026,Monograph,Learning Commons,Act-nonc,,,,,"iv, 156 p. : ill. ; 28 cm.",,text,Learning Commons,0471148024 (alk. paper),9.78E+12,471148024,Q 182.3 .V36 1997,96027512,New York,c1997,1997,Wiley,,Non-Circulating,"Science projects - Handbooks, manuals, etc;Science exhibitions - Handbooks, Manuals, etc",Janice VanCleave's guide to the best science fair projects,Guide to the best science fair projects
Q 182.3 .V36 1997,5892,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",5892,Monograph,Learning Commons,Activity,,,,,"iv, 156 p. : ill. ; 28 cm.",,text,Learning Commons,0471148024 (alk. paper),9.78E+12,471148024,Q 182.3 .V36 1997,96027512,New York,c1997,1997,Wiley,,Available,"Science projects - Handbooks, manuals, etc;Science exhibitions - Handbooks, Manuals, etc",Janice VanCleave's guide to the best science fair projects,Guide to the best science fair projects
QL 467.2 .V35 1997,21773,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",21773,Monograph,Learning Commons,Activity,,,,,"iv, 92 p. : ill. ; 21 cm.",,text,Learning Commons,0471163961 (paper),9.78E+12,471163961,QL 467.2 .V35 1997,97012595,New York,1997,1997,J. Wiley,,Available,Insects - Experiments - Juvenile literature;Spiders - Experiments - Juvenile literature;Entomology projects - Juvenile literature;Insects - Experiments;Spiders - Experiments;Experiments;Science projects,Janice VanCleave's insects and spiders : mind-boggling experiments you can turn into science fair projects,Insects and spiders
QL 467.2 .V35 1998,2337,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",2337,Monograph,Learning Commons,Act-nonc,,,,,"iv, 92 p. : ill. ; 21 cm.",,text,Learning Commons,0471163961 (paper),9.78E+12,471163961,QL 467.2 .V35 1997,97012595,New York,1997,1997,J. Wiley,,Non-Circulating,Insects - Experiments - Juvenile literature;Spiders - Experiments - Juvenile literature;Entomology projects - Juvenile literature;Insects - Experiments;Spiders - Experiments;Experiments;Science projects,Janice VanCleave's insects and spiders : mind-boggling experiments you can turn into science fair projects,Insects and spiders
QL 467.2 .V35 1998,4170,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",2336,Monograph,Learning Commons,Activity,,,,,"iv, 92 p. : ill. ; 21 cm.",,text,Learning Commons,0471163961 (paper),9.78E+12,471163961,QL 467.2 .V35 1997,97012595,New York,1997,1997,J. Wiley,,Available,Insects - Experiments - Juvenile literature;Spiders - Experiments - Juvenile literature;Entomology projects - Juvenile literature;Insects - Experiments;Spiders - Experiments;Experiments;Science projects,Janice VanCleave's insects and spiders : mind-boggling experiments you can turn into science fair projects,Insects and spiders
TJ 147 .V25 1993,6797,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",6797,Monograph,Learning Commons,Act-nonc,,,,,87 p. : ill. ; 21 cm.,,text,Learning Commons,0471571083 (pbk.) :,9.78E+12,471571083,TJ 147 .V25 1993,92029090,New York,c1993,1993,Wiley,,Available,Simple machines - Juvenile literature;Simple machines - Experiments - Juvenile literature;Experiments;Science projects - Juvenile literature;Science exhibitions - Juvenile literature;Science - Experiments - Study and teaching (Elementary),Janice VanCleave's machines : mind-boggling experiments you can turn into science fair projects,Machines.
TJ 147 .V25 1993,5647,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",6796,Monograph,Learning Commons,Activity,,,,,87 p. : ill. ; 21 cm.,,text,,0471571083 (pbk.) :,9.78E+12,471571083,TJ 147 .V25 1993,92029090,New York,c1993,1993,Wiley,,Available,Simple machines - Juvenile literature;Simple machines - Experiments - Juvenile literature;Experiments;Science projects - Juvenile literature;Science exhibitions - Juvenile literature;Science - Experiments - Study and teaching (Elementary),Janice VanCleave's machines : mind-boggling experiments you can turn into science fair projects,Machines.
QC 753.7 .V35 1993,21831,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",21831,Monograph,Learning Commons,Activity,,,,,87 p. : ill. ; 21 cm.,,text,Learning Commons,0471571067 (pbk.) :,9.78E+12,471571067,QC 753.7 .V35 1993,92021348,New York,c1993,1993,Wiley,,Available,Magnets - Experiments - Juvenile literature;Science projects;Science - Experiments - Juvenile literature;Magnets - Experiments;Experiments,Janice VanCleave's magnets : mind-boggling experiments you can turn into science fair projects.,Magnets
QC 753.7 .V35 1993,21832,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",21832,Monograph,Learning Commons,Activity,,,,,87 p. : ill. ; 21 cm.,,text,Learning Commons,0471571067 (pbk.) :,9.78E+12,471571067,QC 753.7 .V35 1993,92021348,New York,c1993,1993,Wiley,,Available,Magnets - Experiments - Juvenile literature;Science projects;Science - Experiments - Juvenile literature;Magnets - Experiments;Experiments,Janice VanCleave's magnets : mind-boggling experiments you can turn into science fair projects.,Magnets
QC 753.7 .V35 1993,2526,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",2526,Monograph,Learning Commons,Act-nonc,,,,,87 p. : ill. ; 21 cm.,,text,Learning Commons,0471571067 (pbk.) :,9.78E+12,471571067,QC 753.7 .V35 1993,92021348,New York,c1993,1993,Wiley,,Non-Circulating,Magnets - Experiments - Juvenile literature;Science projects;Science - Experiments - Juvenile literature;Magnets - Experiments;Experiments,Janice VanCleave's magnets : mind-boggling experiments you can turn into science fair projects.,Magnets
QC 753.7 .V35 1993,2973,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",2527,Monograph,Learning Commons,Activity,,,,,87 p. : ill. ; 21 cm.,,text,Learning Commons,0471571067 (pbk.) :,9.78E+12,471571067,QC 753.7 .V35 1993,92021348,New York,c1993,1993,Wiley,,Lost,Magnets - Experiments - Juvenile literature;Science projects;Science - Experiments - Juvenile literature;Magnets - Experiments;Experiments,Janice VanCleave's magnets : mind-boggling experiments you can turn into science fair projects.,Magnets
QH 278 .V36 1993,574,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",6049,Monograph,Learning Commons,Act-nonc,,,,,100 p. : ill. ; 21 cm.,,text,,047158956X (acid-free paper) :,9.78E+12,047158956X,QH 278 .V36 1993,93017352,New York,c1993,1993,John Wiley & Sons,,Available,Microscopes - Experiments - Juvenile literature;Magnifying glasses - Experiments - Juvenile literature;Microscopy - Experiments - Juvenile literature;Biology - Experiments - Juvenile literature;Chemistry - Experiments - Juvenile literature;Science projects - Juvenile literature;Chemistry - Experiments;Microscope and microscopy - Experiments,Janice VanCleave's microscopes and magnifying lenses : mind-boggling chemistry and biology experiments you can turn into science fair projects.,Microscopes and magnifying lenses
QH 278 .V36 1993,1804,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",1804,Monograph,Learning Commons,Activity,,,,,100 p. : ill. ; 21 cm.,,text,Learning Commons,047158956X (acid-free paper) :,9.78E+12,047158956X,QH 278 .V36 1993,93017352,New York,c1993,1993,John Wiley & Sons,,Available,Microscopes - Experiments - Juvenile literature;Magnifying glasses - Experiments - Juvenile literature;Microscopy - Experiments - Juvenile literature;Biology - Experiments - Juvenile literature;Chemistry - Experiments - Juvenile literature;Science projects - Juvenile literature;Chemistry - Experiments;Microscope and microscopy - Experiments,Janice VanCleave's microscopes and magnifying lenses : mind-boggling chemistry and biology experiments you can turn into science fair projects.,Microscopes and magnifying lenses
QD 461 .V33 1993,473,"VanCleave, Janice Pratt","VanCleave, Janice Pratt",1803,Monograph,Learning Commons,Act-nonc,,,,,88 p. : ill. ; 21 cm.,,text,Learning Commons,047155054X (pbk.) :,9.78E+12,047155054X,QD 461 .V33 1993,92025719,New York,c1993,1993,John Wiley & Sons,,Non-Circulating,Molecular structure - Experiments - Juvenile literature;Chemistry - Experiments - Juvenile literature;Molecules - Experiments;Chemistry - Experiments;Experiments;Science projects,Janice VanCleave's molecules.,Molecules
